open_time,close_time,direction,lots,entry,exit,pnl,r_multiple,confidence,exit_reason
2015-12-31 16:00:00,2016-01-04 05:45:00,sell,0.06,1061.24,1068.76,-45.08,-1.04,high,stop_loss
2016-01-04 14:00:00,2016-01-05 05:45:00,sell,0.05,1078.24,1078.83,-2.94,-0.07,high,trail_stop
2016-01-05 14:00:00,2016-01-06 08:45:00,sell,0.05,1075.05,1084.5,-47.23,-1.03,high,stop_loss
2016-01-06 18:00:00,2016-01-07 02:00:00,sell,0.05,1090.6,1100.4,-48.96,-1.03,high,stop_loss
2016-01-07 10:00:00,2016-01-07 15:00:00,sell,0.03,1096.04,1107.63,-34.77,-1.02,med,stop_loss
2016-01-07 23:00:00,2016-01-08 16:15:00,sell,0.02,1107.97,1104.44,7.06,0.3,med,trail_stop
2016-01-08 20:00:00,2016-01-13 19:00:00,sell,0.01,1102.16,1093.31,8.85,0.67,low,trail_stop
2016-01-14 03:00:00,2016-01-15 07:15:00,sell,0.01,1092.7,1084.77,7.94,0.61,low,trail_stop
2016-01-15 14:00:00,2016-01-20 07:15:00,sell,0.01,1093.58,1094.8,-1.21,-0.09,low,trail_stop
2016-01-20 14:00:00,2016-01-22 15:30:00,sell,0.01,1099.29,1102.99,-3.7,-0.36,low,trail_stop
2016-02-04 08:00:00,2016-02-05 13:45:00,buy,0.01,1142.03,1149.61,7.57,0.7,low,trail_stop
2016-02-05 18:00:00,2016-02-09 07:45:00,buy,0.01,1157.49,1187.86,30.37,2.4,low,trail_stop
2016-02-09 08:30:00,2016-02-11 20:30:00,buy,0.01,1193.69,1246.93,53.24,3.31,low,trail_stop
2016-02-12 00:00:00,2016-02-15 04:15:00,buy,0.01,1240.51,1217.19,-23.32,-1.01,low,stop_loss
2016-02-15 14:00:00,2016-02-22 03:30:00,buy,0.01,1211.47,1218.7,7.24,0.35,med,trail_stop
2016-02-22 10:00:00,2016-02-24 19:00:00,buy,0.02,1206.33,1234.62,56.58,1.54,med,trail_stop
2016-02-24 20:00:00,2016-02-26 15:30:00,buy,0.01,1229.86,1220.83,-9.04,-0.41,med,trail_stop
2016-02-28 23:00:00,2016-03-02 01:00:00,buy,0.01,1222.82,1226.37,3.55,0.16,med,trail_stop
2016-03-02 10:00:00,2016-03-04 13:30:00,buy,0.02,1231.13,1255.37,48.47,1.27,high,trail_stop
2016-03-04 16:00:00,2016-03-09 14:15:00,buy,0.02,1269.1,1248.9,-40.41,-1.01,high,stop_loss
2016-03-09 23:00:00,2016-03-11 08:45:00,buy,0.02,1252.91,1264.75,23.67,0.62,high,trail_stop
