iter	F1	Logloss
193	0.4012034251	0.6118927571
194	0.4017584452	0.6117538482
195	0.4025523651	0.6115931247
196	0.4043811813	0.6114262889
197	0.4036434252	0.6112449478
198	0.4043645106	0.6109877662
199	0.4048048048	0.6108229438
200	0.4058345643	0.6105886815
201	0.4072878229	0.61036959
202	0.4071204575	0.6101966397
203	0.4084773094	0.6100225101
204	0.409009258	0.609794812
205	0.4104285452	0.6095945647
206	0.4116701126	0.609443885
207	0.4133944954	0.609257255
208	0.4134986226	0.6091019365
209	0.4138184154	0.6089301464
210	0.4146341463	0.6087404283
211	0.4154177552	0.6084751412
212	0.4169070843	0.6082926614
213	0.416998672	0.6080744768
214	0.4184088934	0.6077977317
215	0.4190023319	0.6075960079
216	0.4197981827	0.6073463902
217	0.4203990321	0.6071334365
218	0.4213167861	0.6069881712
219	0.4217922979	0.6068182434
220	0.4225929978	0.6066105716
221	0.4234049346	0.6064021818
222	0.4236870897	0.6062205412
223	0.424551498	0.6060715111
224	0.4258939132	0.6058108809
225	0.4261862518	0.6056759573
226	0.4280909091	0.6054055854
227	0.4284286104	0.6051744183
228	0.4289541801	0.6049211596
229	0.4304843176	0.6046680467
230	0.4310274439	0.6044310322
231	0.4331492713	0.6042259201
232	0.4328729907	0.6040022551
233	0.4328337936	0.6038245453
234	0.4340390879	0.6035512252
235	0.4357178363	0.6032454193
236	0.4371387283	0.6030322156
237	0.4375620767	0.6028329484
238	0.4379344588	0.6025557048
239	0.4386788196	0.6023025826
240	0.4388417824	0.6021315492
241	0.439235485	0.6019084107
242	0.4399477218	0.6016803876
243	0.4415923624	0.6014419844
244	0.4417327089	0.601185223
245	0.4432841196	0.6009620648
246	0.4435244352	0.6008074054
247	0.4436347278	0.6006433949
248	0.4449737114	0.6004145277
249	0.4454916745	0.6001486274
250	0.4466959562	0.6000023287
251	0.4465166323	0.599777894
252	0.4478961504	0.5995228802
253	0.449045298	0.5993340923
254	0.4491146485	0.5991598963
255	0.4496893299	0.5989634138
256	0.4501742783	0.5986704276
257	0.451154688	0.5984048462
258	0.4518290232	0.5982060129
259	0.4524107143	0.5980489878
260	0.4530810763	0.5978766771
261	0.4539007092	0.5976784348
262	0.454067071	0.5974361077
263	0.4548414433	0.5972283648
264	0.4560887582	0.5970391664
265	0.4571199573	0.5968193676
266	0.4577991453	0.5966646211
267	0.457969724	0.5964492518
268	0.4579439252	0.5961690009
269	0.4584259671	0.5960140082
270	0.4592671647	0.5958036466
271	0.4597272202	0.5955735869
272	0.4615316315	0.5953659102
273	0.4615589489	0.5951619095
274	0.4615589489	0.5949811126
275	0.462534362	0.5947932624
276	0.4633173844	0.59454864
277	0.4643442079	0.5943428205
278	0.4652212389	0.5940683065
279	0.4658975379	0.5939070926
280	0.4663276586	0.5936729894
281	0.4667462106	0.5934917192
282	0.4678088846	0.5932612814
283	0.4689789074	0.5930731348
284	0.4689320388	0.592904489
285	0.4694516741	0.592803519
286	0.4704170708	0.5925492531
287	0.4700952717	0.5922967931
288	0.470484426	0.5921020074
289	0.4711275677	0.5918425787
290	0.471703103	0.5916402137
291	0.4718229121	0.5914598534
292	0.4720299758	0.591233889
293	0.4733321598	0.5910019358
294	0.472965833	0.5907398791
295	0.4744271956	0.5905337253
296	0.475939354	0.5902012323
297	0.4767932489	0.5899629789
298	0.4770271457	0.5897268343
299	0.4772068511	0.5895634755

