signal_time,entry_time,direction,confidence,volume,entry_price,sl,tp,sl_pips,tp_pips,max_bars,bars_held,peak_pips,exit_time,exit_price,exit_reason,pnl_pips,pnl_dollars
2024-05-09 16:15:00,2024-05-09 16:15:00,buy,0.620203111323558,0.01,1.07595,1.07495,1.0789499999999999,10.0,30.0,1,1,4.60000000000127,2024-05-09 16:30:00,1.0764,bar_end,2.700000000000615,0.27000000000006147
2024-05-10 17:00:00,2024-05-10 17:00:00,sell,0.7201073647348176,0.01,1.07729,1.07829,1.0742900000000002,10.0,30.0,2,2,10.900000000000354,2024-05-10 17:30:00,1.07664,bar_end,4.7000000000003945,0.47000000000003944
2024-05-15 16:00:00,2024-05-15 16:00:00,sell,0.7482719755419602,0.01,1.08637,1.0855299999999999,1.0833700000000002,10.0,30.0,2,2,18.400000000000638,2024-05-15 16:30:00,1.0855299999999999,trail_sl,6.60000000000174,0.660000000000174
2024-05-15 16:30:00,2024-05-15 16:30:00,sell,0.6802142776610905,0.01,1.08448,1.08548,1.0814800000000002,10.0,30.0,1,1,13.100000000001444,2024-05-15 16:45:00,1.08351,bar_end,7.900000000001374,0.7900000000001375
2024-05-29 15:15:00,2024-05-29 15:15:00,sell,0.6994881763558338,0.01,1.08534,1.0863399999999999,1.08234,10.0,30.0,1,1,4.199999999998649,2024-05-29 15:30:00,1.08517,bar_end,-0.09999999999996523,-0.009999999999996524
2024-05-29 17:00:00,2024-05-29 17:00:00,sell,0.6427456543422718,0.01,1.08348,1.0844799999999999,1.08048,10.0,30.0,1,1,14.400000000001079,2024-05-29 17:15:00,1.08208,bar_end,12.200000000000678,1.220000000000068
2024-06-07 15:00:00,2024-06-07 15:00:00,sell,0.8222513936430743,0.01,1.08936,1.08387,1.0863600000000002,10.0,30.0,4,2,64.90000000000107,2024-06-07 15:30:00,1.08387,trail_sl,53.10000000000217,5.310000000000217
2024-06-10 15:15:00,2024-06-10 15:15:00,sell,0.7404643402460637,0.01,1.0756000000000001,1.0766,1.0726000000000002,10.0,30.0,2,2,14.700000000000824,2024-06-10 15:45:00,1.07414,bar_end,12.800000000000168,1.280000000000017
2024-06-12 16:30:00,2024-06-12 16:30:00,sell,0.6309595166892499,0.01,1.08308,1.08408,1.0800800000000002,10.0,30.0,1,1,2.9999999999996696,2024-06-12 16:45:00,1.08367,bar_end,-7.699999999998684,-0.7699999999998685
2024-06-14 09:15:00,2024-06-14 09:15:00,sell,0.6855593899509874,0.01,1.07259,1.0735899999999998,1.06959,10.0,30.0,1,1,9.999999999998899,2024-06-14 09:30:00,1.07184,bar_end,5.700000000000284,0.5700000000000285
2024-06-20 17:30:00,2024-06-20 17:30:00,sell,0.6064278039832233,0.01,1.07288,1.07388,1.0698800000000002,10.0,30.0,1,1,8.099999999999774,2024-06-20 17:45:00,1.07219,bar_end,5.100000000000795,0.5100000000000795
2024-06-21 16:00:00,2024-06-21 16:00:00,sell,0.6249291442548789,0.01,1.06905,1.07005,1.0660500000000002,10.0,30.0,1,1,2.9999999999996696,2024-06-21 16:15:00,1.06928,bar_end,-4.0999999999995245,-0.40999999999995246
2024-06-28 16:00:00,2024-06-28 16:00:00,sell,0.6970761600764593,0.01,1.07024,1.07124,1.0672400000000002,10.0,30.0,1,1,6.800000000000139,2024-06-28 16:15:00,1.06968,bar_end,3.80000000000116,0.38000000000011597
2024-07-01 17:00:00,2024-07-01 17:00:00,sell,0.722457505416618,0.01,1.07475,1.07575,1.0717500000000002,10.0,30.0,2,2,11.100000000001664,2024-07-01 17:30:00,1.07375,bar_end,8.200000000001118,0.8200000000001119
2024-07-01 17:30:00,2024-07-01 17:30:00,sell,0.6677036020177401,0.01,1.07362,1.07462,1.0706200000000001,10.0,30.0,1,1,7.500000000000284,2024-07-01 17:45:00,1.07302,bar_end,4.199999999999339,0.4199999999999339
2024-07-01 17:45:00,2024-07-01 17:45:00,sell,0.6098587631264708,0.01,1.0728900000000001,1.07389,1.0698900000000002,10.0,30.0,1,1,9.100000000001884,2024-07-01 18:00:00,1.07232,bar_end,3.900000000001815,0.3900000000001815
2024-07-08 00:15:00,2024-07-08 00:15:00,buy,0.624298795859405,0.01,1.08139,1.0803900000000002,1.08439,10.0,30.0,1,1,4.599999999999049,2024-07-08 00:30:00,1.08175,bar_end,1.7999999999991594,0.17999999999991595
2024-07-08 00:45:00,2024-07-08 00:45:00,buy,0.9066399313875141,0.01,1.08182,1.0808200000000001,1.08482,10.0,30.0,4,4,14.899999999999913,2024-07-08 01:45:00,1.08245,bar_end,4.499999999999084,0.4499999999999084
2024-07-15 00:45:00,2024-07-15 00:45:00,buy,0.7030831148159912,0.01,1.08893,1.08793,1.0919299999999998,10.0,30.0,2,2,2.9999999999996696,2024-07-15 01:15:00,1.08869,bar_end,-4.20000000000018,-0.42000000000001797
2024-08-01 17:15:00,2024-08-01 17:15:00,sell,0.7933967076160886,0.01,1.0799400000000001,1.08094,1.0769400000000002,10.0,30.0,2,2,12.000000000000899,2024-08-01 17:45:00,1.07922,bar_end,5.4000000000005395,0.540000000000054
