signal_time,entry_time,direction,confidence,volume,entry_price,sl,tp,sl_pips,tp_pips,max_bars,bars_held,peak_pips,exit_time,exit_price,exit_reason,pnl_pips,pnl_dollars
2024-05-09 03:00:00,2024-05-09 03:00:00,buy,0.6568069010143334,0.01,155.378,155.43200000000002,155.678,10.0,30.0,1,1,15.400000000002478,2024-05-09 03:15:00,155.43200000000002,trail_sl,3.600000000003047,0.3600000000003047
2024-05-09 03:15:00,2024-05-09 03:15:00,buy,0.7228763054540094,0.01,155.492,155.6,155.792,10.0,30.0,2,2,20.79999999999984,2024-05-09 03:45:00,155.6,trail_sl,9.000000000000409,0.900000000000041
2024-05-13 00:45:00,2024-05-13 00:45:00,buy,0.6623729959155247,0.01,155.70799999999997,155.60799999999998,156.00799999999998,10.0,30.0,1,1,3.8000000000039336,2024-05-13 01:00:00,155.731,bar_end,0.5000000000024556,0.05000000000024556
2024-05-15 16:00:00,2024-05-15 16:00:00,buy,0.6026595900129605,0.01,155.12099999999998,155.264,155.421,10.0,30.0,1,1,24.300000000002342,2024-05-15 16:15:00,155.264,trail_sl,12.50000000000291,1.250000000000291
2024-05-15 18:30:00,2024-05-15 18:30:00,buy,0.7142552047459897,0.01,154.91299999999998,154.988,155.213,10.0,30.0,2,1,17.500000000001137,2024-05-15 18:45:00,154.988,trail_sl,5.7000000000017055,0.5700000000001706
2024-05-15 18:45:00,2024-05-15 18:45:00,buy,0.6332004088714523,0.01,155.03999999999996,154.93999999999997,155.33999999999997,10.0,30.0,1,1,9.200000000004138,2024-05-15 19:00:00,154.979,bar_end,-7.89999999999502,-0.7899999999995021
2024-05-16 03:00:00,2024-05-16 03:00:00,buy,0.6274371054701077,0.01,154.408,154.308,154.708,10.0,30.0,1,1,4.700000000002547,2024-05-16 03:15:00,154.308,trail_sl,-11.799999999999432,-1.179999999999943
2024-05-16 03:45:00,2024-05-16 03:45:00,buy,0.6891479436963018,0.01,153.67799999999997,153.826,153.97799999999998,10.0,30.0,1,1,24.800000000001887,2024-05-16 04:00:00,153.826,trail_sl,13.000000000002455,1.3000000000002456
2024-05-16 04:00:00,2024-05-16 04:00:00,buy,0.8100807990913957,0.01,153.81599999999997,153.71599999999998,154.11599999999999,10.0,30.0,4,1,2.400000000002933,2024-05-16 04:15:00,153.71599999999998,trail_sl,-11.799999999999432,-1.179999999999943
2024-05-16 04:15:00,2024-05-16 04:15:00,buy,0.6764900179826466,0.01,153.81099999999998,153.71099999999998,154.111,10.0,30.0,1,1,5.400000000003047,2024-05-16 04:30:00,153.71099999999998,trail_sl,-11.799999999999432,-1.179999999999943
2024-05-16 04:30:00,2024-05-16 04:30:00,buy,0.6554808032423876,0.01,153.85199999999998,154.026,154.152,10.0,30.0,1,1,27.400000000002933,2024-05-16 04:45:00,154.026,trail_sl,15.6000000000035,1.5600000000003502
2024-05-16 07:15:00,2024-05-16 07:15:00,buy,0.7439328936750673,0.01,154.009,153.909,154.309,10.0,30.0,2,1,4.300000000000637,2024-05-16 07:30:00,153.909,trail_sl,-11.799999999999432,-1.179999999999943
2024-05-16 07:30:00,2024-05-16 07:30:00,buy,0.6351270181960665,0.01,153.88199999999998,153.78199999999998,154.182,10.0,30.0,1,1,6.200000000001182,2024-05-16 07:45:00,153.937,bar_end,3.7000000000035245,0.37000000000035244
2024-05-16 17:30:00,2024-05-16 17:30:00,buy,0.6638225027382244,0.01,155.28599999999997,155.18599999999998,155.58599999999998,10.0,30.0,1,1,6.70000000000357,2024-05-16 17:45:00,155.302,bar_end,-0.19999999999804463,-0.019999999999804462
2024-05-20 00:45:00,2024-05-20 00:45:00,buy,0.7239330909240697,0.01,155.67299999999997,155.57299999999998,155.97299999999998,10.0,30.0,2,1,0.0,2024-05-20 01:00:00,155.57299999999998,trail_sl,-11.799999999999432,-1.179999999999943
2024-05-23 16:15:00,2024-05-23 16:15:00,buy,0.6234666736739505,0.01,156.71099999999998,156.611,157.011,10.0,30.0,1,1,6.900000000001683,2024-05-23 16:30:00,156.756,bar_end,2.700000000001592,0.27000000000015917
2024-05-30 16:15:00,2024-05-30 16:15:00,buy,0.7363662719125319,0.01,156.65899999999996,156.55899999999997,156.95899999999997,10.0,30.0,2,2,10.900000000003729,2024-05-30 16:45:00,156.729,bar_end,5.200000000005002,0.5200000000005003
2024-05-30 17:15:00,2024-05-30 17:15:00,sell,0.6027344608916455,0.01,156.68800000000002,156.788,156.388,10.0,30.0,1,1,5.60000000000116,2024-05-30 17:30:00,156.637,bar_end,3.3000000000016145,0.33000000000016144
2024-05-31 17:00:00,2024-05-31 17:00:00,buy,0.9103857319618727,0.01,156.65299999999996,156.776,156.95299999999997,10.0,30.0,4,2,22.30000000000416,2024-05-31 17:30:00,156.776,trail_sl,10.500000000004729,1.050000000000473
2024-06-03 00:45:00,2024-06-03 00:45:00,buy,0.8641978984998789,0.01,157.164,157.238,157.464,10.0,30.0,4,3,17.40000000000066,2024-06-03 01:30:00,157.238,trail_sl,5.600000000001228,0.5600000000001228
2024-06-03 18:00:00,2024-06-03 18:00:00,buy,0.6785721478023348,0.01,156.081,155.981,156.381,10.0,30.0,1,1,9.600000000000364,2024-06-03 18:15:00,156.107,bar_end,0.8000000000010459,0.0800000000001046
2024-06-04 03:15:00,2024-06-04 03:15:00,buy,0.6037790834057338,0.01,156.14199999999997,156.198,156.44199999999998,10.0,30.0,1,1,15.600000000003433,2024-06-04 03:30:00,156.198,trail_sl,3.800000000004002,0.3800000000004002
2024-06-04 09:30:00,2024-06-04 09:30:00,sell,0.7199882858972974,0.01,156.07000000000002,155.722,155.77,10.0,30.0,2,2,44.80000000000075,2024-06-04 10:00:00,155.722,trail_sl,33.00000000000132,3.300000000000132
2024-06-04 13:30:00,2024-06-04 13:30:00,buy,0.7946068453432488,0.01,154.75799999999998,154.842,155.058,10.0,30.0,2,1,18.400000000002592,2024-06-04 13:45:00,154.842,trail_sl,6.600000000003161,0.6600000000003161
2024-06-04 13:45:00,2024-06-04 13:45:00,buy,0.7393876074836616,0.01,154.93999999999997,155.118,155.23999999999998,10.0,30.0,2,1,27.800000000002,2024-06-04 14:00:00,155.118,trail_sl,16.00000000000257,1.600000000000257
2024-06-04 14:00:00,2024-06-04 14:00:00,buy,0.6743935599595918,0.01,155.158,155.058,155.458,10.0,30.0,1,1,6.60000000000025,2024-06-04 14:15:00,155.172,bar_end,-0.3999999999989996,-0.03999999999989996
2024-06-05 04:00:00,2024-06-05 04:00:00,buy,0.6093839844883007,0.01,155.35799999999998,155.25799999999998,155.658,10.0,30.0,1,1,2.8421709430404007e-12,2024-06-05 04:15:00,155.25799999999998,trail_sl,-11.799999999999432,-1.179999999999943
2024-06-06 04:00:00,2024-06-06 04:00:00,buy,0.6853866671845317,0.01,155.50199999999998,155.402,155.802,10.0,30.0,1,1,3.300000000001546,2024-06-06 04:15:00,155.486,bar_end,-3.399999999999113,-0.3399999999999113
2024-06-06 05:30:00,2024-06-06 05:30:00,buy,0.7318959958262917,0.01,155.55299999999997,155.45299999999997,155.85299999999998,10.0,30.0,2,2,13.700000000002888,2024-06-06 06:00:00,155.654,bar_end,8.30000000000275,0.8300000000002752
2024-06-06 16:00:00,2024-06-06 16:00:00,sell,0.6573183349630737,0.01,156.35000000000002,156.272,156.05,10.0,30.0,1,1,17.80000000000257,2024-06-06 16:15:00,156.272,trail_sl,6.000000000003138,0.6000000000003138
2024-06-07 07:45:00,2024-06-07 07:45:00,buy,0.7092136362383541,0.01,155.593,155.493,155.893,10.0,30.0,2,2,9.000000000000341,2024-06-07 08:15:00,155.665,bar_end,5.400000000000273,0.5400000000000273
2024-06-07 15:15:00,2024-06-07 15:15:00,buy,0.6632743295441496,0.01,155.49399999999997,156.651,155.79399999999998,10.0,30.0,1,1,125.70000000000334,2024-06-07 15:30:00,156.651,trail_sl,113.90000000000391,11.390000000000391
2024-06-07 15:45:00,2024-06-07 15:45:00,buy,0.7015752364076345,0.01,156.79199999999997,156.69199999999998,157.09199999999998,10.0,30.0,2,2,8.70000000000175,2024-06-07 16:15:00,156.69199999999998,trail_sl,-11.799999999999432,-1.179999999999943
2024-06-07 16:15:00,2024-06-07 16:15:00,buy,0.7230281595466966,0.01,156.68299999999996,156.755,156.98299999999998,10.0,30.0,2,1,17.200000000002547,2024-06-07 16:30:00,156.755,trail_sl,5.400000000003115,0.5400000000003116
2024-06-07 16:30:00,2024-06-07 16:30:00,buy,0.6652877812983482,0.01,156.86599999999999,156.766,157.166,10.0,30.0,1,1,11.600000000001387,2024-06-07 16:45:00,156.958,bar_end,7.400000000001296,0.7400000000001297
2024-06-07 17:30:00,2024-06-07 17:30:00,buy,0.6034260976100249,0.01,156.879,156.779,157.179,10.0,30.0,1,1,9.400000000002251,2024-06-07 17:45:00,156.87,bar_end,-2.699999999998613,-0.2699999999998613
