timestamp,equity
2010-01-04,10159.77963911392
2010-01-05,10143.022008390566
2010-01-06,10245.96279153508
2010-01-07,10239.985446792925
2010-01-08,10263.692122325698
2010-01-11,10317.15625665837
2010-01-12,10151.981072989043
2010-01-13,10201.674770970543
2010-01-14,10212.490928275907
2010-01-15,10090.804412473364
2010-01-19,10178.935784601683
2010-01-20,10006.123411302457
2010-01-21,9882.649934705427
2010-01-22,9751.235166959716
2010-01-25,9803.461093182612
2010-01-26,9789.94972449697
2010-01-27,9738.401447316046
2010-01-28,9703.080308237093
2010-01-29,9645.35897038997
2010-02-01,9797.848678932978
2010-02-02,9884.558378310001
2010-02-03,9882.682555381964
2010-02-04,9648.220968052095
2010-02-05,9589.411482415124
2010-02-08,9624.001297920686
2010-02-09,9698.979822513902
2010-02-10,9719.901535047375
2010-02-11,9804.847210774622
2010-02-12,9765.316560277086
2010-02-16,9884.66325995364
2010-02-17,9945.266723244884
2010-02-18,10021.161494005193
2010-02-19,10024.702922927801
2010-02-22,10011.420365881084
2010-02-23,9919.064466038291
2010-02-24,9943.534802293649
2010-02-25,9916.280475376137
2010-02-26,9936.370901682234
2010-03-01,9955.810472223939
2010-03-02,9994.806036169053
2010-03-03,9999.333973376633
2010-03-04,10012.237702237537
2010-03-05,10074.254937267948
2010-03-08,10066.019048880511
2010-03-09,10059.037151262624
2010-03-10,10046.685599627159
2010-03-11,10048.34454579511
2010-03-12,9997.220957046527
2010-03-15,10009.944561162087
2010-03-16,10044.81997653153
2010-03-17,10089.094110792706
2010-03-18,10132.727032991523
2010-03-19,10088.353764274387
2010-03-22,10072.40083488676
2010-03-23,10192.46357062681
2010-03-24,10221.262915395944
2010-03-25,10254.571349982732
2010-03-26,10222.744079298667
2010-03-29,10259.753072591911
2010-03-30,10268.747279062807
2010-03-31,10258.799450205986
2010-04-01,10303.84916588175
2010-04-05,10463.724190352626
2010-04-06,10509.479279392584
2010-04-07,10496.501051349558
2010-04-08,10506.53604943417
2010-04-09,10476.351811869645
2010-04-12,10417.725492841502
2010-04-13,10379.537640257917
2010-04-14,10455.267262234962
2010-04-15,10488.506946713407
2010-04-16,10344.252318569677
2010-04-19,10354.852310594571
2010-04-20,10450.28685225456
2010-04-21,10471.73357570642
2010-04-22,10541.262664384773
2010-04-23,10576.069909338861
2010-04-26,10531.649966730447
2010-04-27,10484.757207932653
2010-04-28,10550.35727259327
2010-04-29,10586.162713843192
2010-04-30,10514.806739196485
2010-05-03,10641.03660711071
2010-05-04,10532.355823090635
2010-05-05,10513.526868746892
2010-05-06,10399.731880521638
2010-05-07,10268.569528680384
2010-05-10,10488.281377952113
2010-05-11,10572.437699084556
2010-05-12,10664.614144855916
2010-05-13,10606.369881151422
2010-05-14,10516.739255831948
2010-05-17,10479.593326137958
2010-05-18,10461.535753231543
2010-05-19,10296.829464987855
2010-05-20,10012.495676300172
2010-05-21,10039.50932366826
2010-05-24,10133.587630996419
2010-05-25,10093.259644324735
2010-05-26,10263.85903844472
2010-05-27,10409.11085735848
2010-05-28,10367.796939580061
2010-06-01,10309.426950278428
2010-06-02,10334.71540299161
2010-06-03,10356.367510625261
2010-06-04,10368.679344554466
2010-06-07,10411.38511516784
2010-06-08,10419.841207939915
2010-06-09,10397.541587734338
2010-06-10,10390.4764635536
2010-06-11,10392.654964001264
2010-06-14,10355.639846708784
2010-06-15,10382.801227103222
2010-06-16,10382.447814731693
2010-06-17,10383.758261217215
2010-06-18,10403.408535351235
2010-06-21,10399.163853044332
2010-06-22,10390.287393695988
2010-06-23,10352.035080925883
2010-06-24,10347.253839367973
2010-06-25,10374.897151034058
2010-06-28,10366.778074034608
2010-06-29,10348.083375878632
2010-06-30,10323.267762489015
