name,sharpe_full,dd_full,cagr_full,sharpe_eval,dd_eval,cagr_eval,turnover_yr,avg_abs_pos,params
h4-ens-shortdamp0.25,0.78,-22.2,11.0,0.898,-22.2,13.7,28.2,0.6,"{""short_scale"": 0.25}"
h4-ens-shortdamp0.5,0.744,-24.0,10.6,0.856,-24.0,13.2,30.3,0.64,"{""short_scale"": 0.5}"
h4-ens-shortdamp0.75,0.702,-25.9,10.2,0.809,-25.9,12.7,32.4,0.67,"{""short_scale"": 0.75}"
h4-ens-tilt0.25,0.718,-27.6,11.7,0.81,-27.6,14.3,34.2,0.79,"{""tilt"": 0.25}"
h4-ens-tilt0.5,0.763,-27.0,13.4,0.844,-27.0,16.1,32.9,0.88,"{""tilt"": 0.5}"
h4-ens-damp0.5-tilt0.25,0.787,-23.9,12.6,0.887,-23.9,15.3,30.0,0.73,{}
h4-ens-volfloor0.3,0.654,-27.6,9.5,0.738,-27.6,11.6,30.7,0.68,"{""vol_floor_q"": 0.3}"
h4-ens-volfloor0.5,0.642,-26.4,9.0,0.715,-26.4,10.9,27.4,0.65,"{""vol_floor_q"": 0.5}"
h4-longonly-voltarget,0.731,-16.2,9.6,0.928,-16.2,12.0,12.6,0.79,{}
h4-ens-seasonal-tilt,0.722,-31.2,11.6,0.796,-31.2,14.0,34.5,0.78,{}
d1-ens-longshort-2008,0.335,-33.9,4.9,0.285,-29.6,5.9,14.9,0.6,{}
d1-ens-longflat-2008,0.474,-25.8,6.1,0.55,-21.4,8.0,9.5,0.43,{}
d1-longonly-voltarget-2008,0.544,-31.4,6.0,1.072,-14.3,10.4,1.5,0.63,{}
h4-lf-ewmac-only,0.757,-25.1,12.2,0.898,-25.1,15.4,31.2,0.7,{}
h4-lf-ewmac-only-buf0.3,0.758,-23.1,11.8,0.908,-23.1,15.0,6.4,0.71,{}
h4-lf-ens73,0.809,-20.3,11.4,0.931,-20.3,14.2,26.1,0.57,{}
h4-lf-ens73-buf0.3,0.755,-19.9,10.5,0.88,-19.9,13.0,6.4,0.59,{}
h4-lf-ens532,0.814,-17.4,10.3,0.924,-17.4,12.5,26.1,0.5,{}
h4-lf-ens532-buf0.3,0.758,-17.1,9.4,0.869,-17.1,11.5,5.5,0.53,{}
h4-lf-ens433,0.816,-16.6,9.7,0.918,-16.6,11.8,26.8,0.46,{}
h4-lf-ens433-buf0.3,0.761,-16.1,8.9,0.865,-16.1,10.8,5.3,0.5,{}
h4-lf-floor0.3,0.82,-18.0,11.9,0.973,-18.0,15.0,25.6,0.66,{}
h4-lf-ens73-tv0.15,0.812,-29.4,17.1,0.934,-29.4,21.3,39.2,0.85,"{""target_vol"": 0.15}"
h4-lf-ens73-tv0.2,0.815,-37.8,22.6,0.937,-37.8,28.4,52.2,1.13,"{""target_vol"": 0.2}"
h4-ens-shortdamp0.0,0.809,-20.3,11.4,0.931,-20.3,14.2,26.1,0.57,"{""short_scale"": 0.0}"
h4-ens-shortdamp0.25,0.78,-22.2,11.0,0.898,-22.2,13.7,28.2,0.6,"{""short_scale"": 0.25}"
h4-ens-shortdamp0.5,0.744,-24.0,10.6,0.856,-24.0,13.2,30.3,0.64,"{""short_scale"": 0.5}"
h4-ens-shortdamp0.75,0.702,-25.9,10.2,0.809,-25.9,12.7,32.4,0.67,"{""short_scale"": 0.75}"
h4-ens-tilt0.25,0.718,-27.6,11.7,0.81,-27.6,14.3,34.2,0.79,"{""tilt"": 0.25}"
h4-ens-tilt0.5,0.763,-27.0,13.4,0.844,-27.0,16.1,32.9,0.88,"{""tilt"": 0.5}"
h4-ens-damp0.5-tilt0.25,0.787,-23.9,12.6,0.887,-23.9,15.3,30.0,0.73,{}
h4-ens-volfloor0.3,0.654,-27.6,9.5,0.738,-27.6,11.6,30.7,0.68,"{""vol_floor_q"": 0.3}"
h4-ens-volfloor0.5,0.642,-26.4,9.0,0.715,-26.4,10.9,27.4,0.65,"{""vol_floor_q"": 0.5}"
h4-longonly-voltarget,0.731,-16.2,9.6,0.928,-16.2,12.0,12.6,0.79,{}
h4-ens-seasonal-tilt,0.722,-31.2,11.6,0.796,-31.2,14.0,34.5,0.78,{}
LO-ewmac-mid,0.757,-25.1,12.2,0.898,-25.1,15.4,31.2,0.7,"{""long_only"": true}"
LO-ewmac-slow,0.748,-26.2,12.4,0.888,-26.2,15.5,30.8,0.75,"{""long_only"": true}"
LO-ewmac-fast,0.776,-22.3,12.1,0.896,-22.3,15.0,31.2,0.64,"{""long_only"": true}"
LO-bko-fast,0.829,-14.4,11.2,0.946,-14.4,13.8,28.5,0.47,"{""long_only"": true}"
LO-bko-slow,0.694,-18.9,9.8,0.825,-18.9,12.5,12.4,0.51,"{""long_only"": true}"
LO-tsmom,0.726,-11.9,6.1,0.8,-11.9,7.2,34.8,0.33,"{""long_only"": true}"
LO-ens-ew0.5-bkof,0.838,-18.8,11.2,0.936,-18.8,13.5,25.4,0.5,"{""w"": 0.5}"
LO-ens-ew0.6-bkof,0.822,-19.0,11.2,0.936,-19.0,13.8,25.5,0.53,"{""w"": 0.6}"
LO-ens-ew0.7-bkof,0.809,-20.3,11.4,0.931,-20.3,14.2,26.1,0.57,"{""w"": 0.7}"
LO-ens-ew0.8-bkof,0.792,-21.8,11.7,0.92,-21.8,14.5,27.3,0.61,"{""w"": 0.8}"
LO-ens3-ew50-bko25-ts25,0.809,-17.3,10.1,0.92,-17.3,12.3,26.9,0.5,{}
LO-ens-resting0.15,0.825,-20.5,12.7,0.939,-20.5,15.5,26.8,0.67,"{""resting"": 0.15}"
LO-ens-resting0.25,0.831,-20.7,13.4,0.939,-20.7,16.2,27.0,0.73,"{""resting"": 0.25}"
LO-ens-resting0.4,0.839,-21.2,14.4,0.938,-21.2,17.3,27.1,0.83,"{""resting"": 0.4}"
