time,PLAT,PALL,NATGAS,HEATOIL,GASOIL,SPX_fastb,SPX_slowb,BTC_fastb,BTC_slowb,GOLD_fastb,GOLD_slowb,XSMOM,DIPBUY,TOM
1986-10-08,,,,,,0.001376438709616342,0.003212857533013763,,,,,0.0017073458934952395,0.0,0.0
1986-10-09,,,,,,-0.0004984467668324707,-0.0011634651353785528,,,,,-0.0006233595928809704,0.0,0.0
1986-10-10,,,,,,-0.00022299096925300702,-0.0005205013564013021,,,,,-0.0002792013782517578,0.0,0.0
1986-10-13,,,,,,0.00025955638342984336,0.0006058516633674308,,,,,0.0003270545790089187,0.0,0.0
1986-10-14,,,,,,-0.0003427208777211904,-0.0007594481511898577,,,,,-0.0004136148651223093,0.0,0.0
1986-10-15,,,,,,0.002177250785662489,0.004834904284585293,,,,,0.002653206671270586,0.0,0.0
1986-10-16,,,,,,0.0008272902835700388,0.0011014561728332358,,,,,0.0005607908436938401,0.0,0.0
1986-10-17,,,,,,-0.0012125014125736846,-0.0012927752348189507,,,,,-0.000523807515456169,0.0,0.0
1986-10-20,,,,,,-0.004998912428298671,-0.005357426726128136,,,,,-0.0022011880329843455,0.0,0.0
1986-10-21,,,,,,-9.577234349434242e-05,-0.0001501565947382988,,,,,-7.045902958774157e-05,0.0,0.0
1986-10-22,,,,,,0.00025844334102813305,0.0005950000900670085,,,,,0.0002958694649356256,0.0,0.0
1986-10-23,,,,,,0.0020674857749735905,0.004725573908058985,,,,,0.0023681618742901396,0.0,0.0
1986-10-24,,,,,,-0.0006894971432287949,-0.0015759149850890144,,,,,-0.0007962699287203237,0.0,0.0
1986-10-27,,,,,,0.00038396388140352446,0.0007913426202832662,,,,,0.000397375115695969,0.0,0.0
1986-10-28,,,,,,0.0005498894136651508,0.0007758395156942777,,,,,0.00038342550410344297,0.0,-2.3073827689004233e-05
1986-10-29,,,,,,0.002831803975801758,0.003219358214906849,,,,,0.00132271400503472,0.0,0.0016199871939841016
1986-10-30,,,,,,0.0063675436971453205,0.00624791814170211,,,,,0.002183123964483912,0.0,0.002673769879113745
1986-10-31,,,,,,0.0007452327798409922,0.0006667138079599068,,,,,0.00021118125025515529,0.0,0.0002586431531840651
1986-11-03,,,,,,0.006144544219948333,0.00520642478239093,,,,,0.0014180264934658272,0.0,0.0017367206753696705
1986-11-04,,,,,,0.001656841686778585,0.001307443498670672,,,,,0.0003118540772691469,0.0,0.00038194168175794394
1986-11-05,,,,,,0.0018470386965038499,0.0014084987833423673,,,,,0.0002968403288998507,0.0,0.00036355367044228456
1986-11-06,,,,,,-0.0037146814328660785,-0.002963171457493694,,,,,-0.0005587584581326993,0.0,-0.0007079012378590982
1986-11-07,,,,,,-0.0005281555391776393,-0.00041701698919582544,,,,,-7.968138005182702e-05,0.0,0.0
1986-11-10,,,,,,0.001903347625054158,0.001502012004656542,,,,,0.00028836585447700804,0.0,0.0
1986-11-11,,,,,,0.005084526693032873,0.004212222775263882,,,,,0.0007663352473871392,0.0,0.0
1986-11-12,,,,,,-0.0023646217779626365,-0.002199683922446677,,,,,-0.0003566951938657046,0.0,0.0
