time,P3
2016-01-01,0.00011784933276317688
2016-01-04,-0.0012940801238983197
2016-01-05,-0.0003978236435202935
2016-01-06,0.0004988477020166165
2016-01-07,2.0160982202752867e-05
2016-01-08,-0.0012936460824702377
2016-01-11,0.0017331030426992553
2016-01-12,-0.00039134123027635015
2016-01-13,-0.000259345603456228
2016-01-14,-0.0005395163416894671
2016-01-15,-0.002479580387286685
2016-01-18,-4.633726015127099e-05
2016-01-19,0.0015567865832686965
2016-01-20,0.0014233318311979394
2016-01-21,-0.0021146141006291867
2016-01-22,-0.002109445939610741
2016-01-25,0.0008075645284642149
2016-01-26,-0.00040012199386027313
2016-01-27,-0.001246238833122208
2016-01-28,-0.0009015820949060106
2016-01-29,0.001065447514506263
2016-02-01,0.0024129119618738586
2016-02-02,0.0005383929792886806
2016-02-03,0.0009504790066195983
2016-02-04,0.004234470534933517
2016-02-05,0.0025626062140474584
2016-02-08,0.006667179149378764
2016-02-09,0.0003737413466717257
2016-02-10,0.0010094791789489854
2016-02-11,0.0075127238005347425
2016-02-12,-0.0032616883113761306
2016-02-15,-0.0022614506645668763
2016-02-16,-0.0010574577763410849
2016-02-17,-0.0006278151619493102
2016-02-18,0.003675669589809974
2016-02-19,-0.00010615086252381582
2016-02-22,-0.0020117090149864496
2016-02-23,0.0002948377777518526
2016-02-24,-0.0008638422078603219
2016-02-25,0.0011859062984938024
2016-02-26,-0.0007097080896298147
2016-02-29,0.001284137771505026
2016-03-01,-5.0119714833161e-05
2016-03-02,0.0006314080985754218
2016-03-03,0.0016973759975399613
2016-03-04,-0.00047797383362108083
2016-03-07,-0.00015322086151995837
2016-03-08,-0.002906640060498481
2016-03-09,-0.00048595325524914665
2016-03-10,4.9283622324699886e-05
2016-03-11,0.00043804837267209237
2016-03-14,-0.0010047913323594172
2016-03-15,-0.002206345947946042
2016-03-16,0.002584922420612431
2016-03-17,0.0026558009674318966
2016-03-18,0.0006153369740037553
2016-03-21,-0.0012077958526590781
2016-03-22,-0.00025422000732507966
2016-03-23,-0.0038376282543968296
2016-03-24,-0.0027292885226645053
2016-03-25,8.960398579561101e-05
