timestamp,equity
2010-01-04,10159.748005905316
2010-01-05,10142.991969275465
2010-01-06,10245.910810466714
2010-01-07,10239.936049108373
2010-01-08,10263.637575862014
2010-01-11,10317.090305440126
2010-01-12,10151.947424981583
2010-01-13,10201.633556342593
2010-01-14,10212.446319811632
2010-01-15,10090.78218872791
2010-01-19,10178.897304937336
2010-01-20,10006.11948473227
2010-01-21,9882.667263387213
2010-01-22,9751.275958994678
2010-01-25,9803.492277896154
2010-01-26,9789.982308370329
2010-01-27,9738.446949268264
2010-01-28,9703.130356612939
2010-01-29,9645.417197327024
2010-02-01,9797.247972344856
2010-02-02,9883.938578562931
2010-02-03,9882.063332477775
2010-02-04,9647.646605491414
2010-02-05,9588.850093616775
2010-02-08,9623.434265516702
2010-02-09,9698.3966421464
2010-02-10,9719.313463859537
2010-02-11,9804.2449832109
2010-02-12,9764.723147206507
2010-02-16,9884.04596412529
2010-02-17,9944.6388674365
2010-02-18,10020.517844872023
2010-02-19,10024.05675995843
2010-02-22,10010.775290553463
2010-02-23,9918.438039620783
2010-02-24,9942.90136279262
2010-02-25,9915.656060388386
2010-02-26,9935.741078382413
2010-03-01,9954.945318556305
2010-03-02,9993.932007083828
2010-03-03,9998.455994837655
2010-03-04,10011.359615291487
2010-03-05,10073.361093088744
2010-03-08,10065.125473838994
2010-03-09,10058.145649986744
2010-03-10,10045.79340021698
2010-03-11,10047.450981607486
2010-03-12,9996.336693250434
2010-03-15,10009.062216020771
2010-03-16,10043.927309139426
2010-03-17,10088.191252762395
2010-03-18,10131.819257244535
2010-03-19,10087.457181809465
2010-03-22,10071.50516987136
2010-03-23,10191.544366765782
2010-03-24,10220.341053276723
2010-03-25,10253.643571819877
2010-03-26,10221.822643850383
2010-03-29,10258.819525129433
2010-03-30,10267.812260466073
2010-03-31,10257.499511156548
2010-04-01,10302.537478449669
2010-04-05,10462.377314283933
2010-04-06,10508.124818813498
2010-04-07,10495.153181980264
2010-04-08,10505.187032983435
2010-04-09,10475.008947254231
2010-04-12,10416.39517167282
