signal_time,entry_time,direction,confidence,volume,entry_price,sl,tp,initial_sl,initial_tp,sl_pips,tp_pips,max_bars,bars_held,peak_pips,exit_time,exit_price,exit_reason,pnl_pips,pnl_dollars,symbol,magic
2024-06-03 17:45:00,2024-06-03 18:00:00,buy,0.6020284251232262,0.01,156.079,155.979,156.37900000000002,155.979,156.37900000000002,10.0,30.0,1,1,9.799999999998477,2024-06-03 18:15:00,156.107,bar_end,1.4999999999991587,0.14999999999991587,USDJPY.Z,20260103
2024-07-11 17:00:00,2024-07-11 17:15:00,buy,0.6342073890905445,0.01,158.74,158.64000000000001,159.04000000000002,158.64000000000001,159.04000000000002,10.0,30.0,1,1,0.0,2024-07-11 17:30:00,158.64000000000001,trail_sl,-11.299999999999432,-1.1299999999999433,USDJPY.Z,20260103
2024-07-12 03:00:00,2024-07-12 03:15:00,buy,0.609582378981364,0.01,158.879,158.95000000000002,159.179,158.779,159.179,10.0,30.0,1,1,17.10000000000207,2024-07-12 03:30:00,158.95000000000002,trail_sl,5.800000000002638,0.5800000000002637,USDJPY.Z,20260103
2024-07-12 03:45:00,2024-07-12 04:00:00,buy,0.7198083286737401,0.01,159.216,159.116,159.51600000000002,159.116,159.51600000000002,10.0,30.0,2,1,7.800000000000296,2024-07-12 04:15:00,159.116,trail_sl,-11.299999999999432,-1.1299999999999433,USDJPY.Z,20260103
2024-07-12 05:15:00,2024-07-12 05:30:00,sell,0.8051586983718464,0.01,159.306,159.254,159.006,159.406,159.006,10.0,30.0,4,3,15.200000000001523,2024-07-12 06:15:00,159.254,trail_sl,3.900000000002092,0.3900000000002092,USDJPY.Z,20260103
2024-07-12 17:00:00,2024-07-12 17:15:00,buy,0.7660438788717022,0.01,157.849,157.749,158.149,157.749,158.149,10.0,30.0,2,2,7.400000000001228,2024-07-12 17:45:00,157.749,trail_sl,-11.299999999999432,-1.1299999999999433,USDJPY.Z,20260103
2024-07-15 03:15:00,2024-07-15 03:30:00,buy,0.6368229489539414,0.01,158.34799999999998,158.248,158.648,158.248,158.648,10.0,30.0,1,1,0.0,2024-07-15 03:45:00,158.248,trail_sl,-11.299999999999432,-1.1299999999999433,USDJPY.Z,20260103
2024-07-18 15:45:00,2024-07-18 16:00:00,buy,0.6864963515595823,0.01,156.462,156.362,156.762,156.362,156.762,10.0,30.0,1,1,5.89999999999975,2024-07-18 16:15:00,156.501,bar_end,2.600000000001569,0.2600000000001569,USDJPY.Z,20260103
2024-07-18 16:15:00,2024-07-18 16:30:00,buy,0.6183134912578345,0.01,156.462,156.59300000000002,156.762,156.362,156.762,10.0,30.0,1,1,23.100000000002296,2024-07-18 16:45:00,156.59300000000002,trail_sl,11.800000000002864,1.1800000000002866,USDJPY.Z,20260103
2024-07-24 07:15:00,2024-07-24 07:30:00,buy,0.6186650985899637,0.01,154.65099999999998,154.551,154.951,154.551,154.951,10.0,30.0,1,1,6.700000000000728,2024-07-24 07:45:00,154.551,trail_sl,-11.299999999999432,-1.1299999999999433,USDJPY.Z,20260103
2024-07-25 03:45:00,2024-07-25 04:00:00,buy,0.7300265130374063,0.01,153.166,153.066,153.466,153.066,153.466,10.0,30.0,2,1,1.300000000000523,2024-07-25 04:15:00,153.066,trail_sl,-11.299999999999432,-1.1299999999999433,USDJPY.Z,20260103
2024-07-25 04:15:00,2024-07-25 04:30:00,buy,0.6226690992273864,0.01,152.708,152.883,153.008,152.608,153.008,10.0,30.0,1,1,27.50000000000057,2024-07-25 04:45:00,152.883,trail_sl,16.200000000001136,1.6200000000001138,USDJPY.Z,20260103
2024-07-25 08:15:00,2024-07-25 08:30:00,buy,0.6135565730841116,0.01,152.66899999999998,152.569,152.969,152.569,152.969,10.0,30.0,1,1,9.900000000001796,2024-07-25 08:45:00,152.741,bar_end,5.900000000003115,0.5900000000003115,USDJPY.Z,20260103
2024-07-25 08:45:00,2024-07-25 09:00:00,buy,0.6167020302092114,0.01,152.749,152.649,153.049,152.649,153.049,10.0,30.0,1,1,12.100000000000932,2024-07-25 09:15:00,152.833,bar_end,7.1000000000003185,0.7100000000000318,USDJPY.Z,20260103
2024-07-25 11:15:00,2024-07-25 11:30:00,sell,0.6197991463544534,0.01,152.524,152.624,152.224,152.624,152.224,10.0,30.0,1,1,11.199999999999477,2024-07-25 11:45:00,152.624,trail_sl,-11.299999999999432,-1.1299999999999433,USDJPY.Z,20260103
2024-07-25 15:45:00,2024-07-25 16:00:00,buy,0.6338459278764824,0.01,153.939,154.096,154.239,153.839,154.239,10.0,30.0,1,1,25.7000000000005,2024-07-25 16:15:00,154.096,trail_sl,14.400000000001068,1.440000000000107,USDJPY.Z,20260103
2024-07-25 16:15:00,2024-07-25 16:30:00,buy,0.6594092982284635,0.01,153.784,153.684,154.084,153.684,154.084,10.0,30.0,1,1,13.100000000000023,2024-07-25 16:45:00,153.684,trail_sl,-11.299999999999432,-1.1299999999999433,USDJPY.Z,20260103
