open_time,close_time,direction,lots,entry,exit,pnl,r_multiple,confidence,exit_reason
2015-12-31 16:00:00,2016-01-04 04:00:00,sell,0.04,1061.24,1068.75,-30.05,-1.04,high,stop_loss
2016-01-04 08:00:00,2016-01-04 12:00:00,sell,0.04,1071.17,1079.5,-33.31,-1.03,high,stop_loss
2016-01-04 16:00:00,2016-01-05 08:00:00,sell,0.03,1077.65,1080.91,-9.78,-0.35,high,trail_stop
2016-01-05 12:00:00,2016-01-06 08:00:00,sell,0.03,1079.55,1084.36,-14.45,-0.52,high,trail_stop
2016-01-06 12:00:00,2016-01-06 16:00:00,sell,0.03,1084.79,1094.58,-29.38,-1.03,high,stop_loss
2016-01-06 20:00:00,2016-01-07 12:00:00,sell,0.03,1093.45,1104.6,-33.44,-1.02,med,stop_loss
2016-01-07 16:00:00,2016-01-08 16:00:00,sell,0.02,1102.51,1104.45,-3.87,-0.16,med,trail_stop
2016-01-08 20:00:00,2016-01-13 16:00:00,sell,0.02,1102.15,1093.29,17.72,0.67,low,trail_stop
2016-01-13 20:00:00,2016-01-15 04:00:00,sell,0.02,1093.3,1084.76,17.07,0.65,low,trail_stop
2016-01-15 08:00:00,2016-01-15 12:00:00,sell,0.02,1084.08,1097.14,-26.13,-1.02,low,stop_loss
2016-01-15 16:00:00,2016-01-20 08:00:00,sell,0.02,1090.14,1096.64,-12.99,-0.47,low,trail_stop
2016-01-20 12:00:00,2016-01-20 16:00:00,sell,0.03,1094.84,1105.26,-31.26,-1.02,low,stop_loss
2016-01-20 20:00:00,2016-01-25 04:00:00,sell,0.03,1103.09,1103.79,-2.08,-0.06,low,trail_stop
2016-02-04 08:00:00,2016-02-05 12:00:00,buy,0.03,1142.03,1149.61,22.75,0.7,low,trail_stop
2016-02-05 16:00:00,2016-02-08 12:00:00,buy,0.02,1153.89,1191.65,75.52,2.98,low,take_profit
2016-02-08 16:00:00,2016-02-11 12:00:00,buy,0.02,1193.36,1242.88,99.05,2.98,low,take_profit
2016-02-11 16:00:00,2016-02-11 20:00:00,buy,0.01,1246.94,1241.72,-5.22,-0.25,low,trail_stop
2016-02-12 00:00:00,2016-02-15 04:00:00,buy,0.01,1240.48,1217.17,-23.31,-1.01,low,stop_loss
2016-02-15 08:00:00,2016-02-16 04:00:00,buy,0.01,1212.22,1191.05,-21.17,-1.01,med,stop_loss
2016-02-16 08:00:00,2016-02-17 00:00:00,buy,0.01,1195.75,1196.16,0.41,0.02,med,trail_stop
2016-02-17 04:00:00,2016-02-22 00:00:00,buy,0.01,1209.17,1217.46,8.29,0.37,med,trail_stop
2016-02-22 04:00:00,2016-02-24 16:00:00,buy,0.02,1216.79,1234.64,35.69,0.97,med,trail_stop
2016-02-24 20:00:00,2016-02-26 12:00:00,buy,0.01,1229.87,1220.83,-9.04,-0.41,med,trail_stop
2016-02-26 16:00:00,2016-03-02 00:00:00,buy,0.01,1217.22,1226.37,9.15,0.42,med,trail_stop
2016-03-02 04:00:00,2016-03-04 12:00:00,buy,0.02,1227.97,1255.37,54.8,1.43,high,trail_stop
2016-03-04 16:00:00,2016-03-09 12:00:00,buy,0.02,1269.1,1248.9,-40.41,-1.01,high,stop_loss
2016-03-09 16:00:00,2016-03-11 08:00:00,buy,0.02,1253.52,1264.75,22.45,0.59,high,trail_stop
2016-03-11 12:00:00,2016-03-14 12:00:00,buy,0.02,1264.44,1243.96,-40.96,-1.01,high,stop_loss
2016-03-14 16:00:00,2016-03-18 08:00:00,buy,0.02,1243.97,1251.41,14.88,0.39,high,trail_stop
2016-03-18 12:00:00,2016-03-23 00:00:00,buy,0.02,1251.12,1242.39,-17.46,-0.5,med,trail_stop
2016-03-23 04:00:00,2016-03-23 12:00:00,buy,0.02,1241.9,1226.63,-30.53,-1.02,high,stop_loss
2016-03-23 16:00:00,2016-03-30 12:00:00,buy,0.02,1223.44,1227.12,7.36,0.22,high,trail_stop
2016-03-30 16:00:00,2016-04-01 12:00:00,buy,0.02,1226.16,1224.53,-3.26,-0.1,med,trail_stop
2016-04-01 16:00:00,2016-04-06 08:00:00,buy,0.02,1214.35,1221.1,13.51,0.44,med,trail_stop
2016-04-06 12:00:00,2016-04-08 08:00:00,buy,0.02,1219.97,1229.92,19.89,0.76,med,trail_stop
2016-04-08 12:00:00,2016-04-13 04:00:00,buy,0.02,1234.65,1249.0,28.69,1.08,high,trail_stop
2016-04-13 08:00:00,2016-04-14 00:00:00,buy,0.02,1249.51,1236.78,-25.47,-1.02,high,stop_loss
2016-04-14 04:00:00,2016-04-14 12:00:00,buy,0.02,1233.03,1230.04,-5.99,-0.22,high,trail_stop
2016-04-14 16:00:00,2016-04-20 16:00:00,buy,0.02,1226.12,1242.72,33.2,1.11,med,trail_stop
2016-04-20 20:00:00,2016-04-21 16:00:00,buy,0.02,1245.16,1255.34,20.37,0.7,med,trail_stop
2016-04-21 20:00:00,2016-04-22 16:00:00,buy,0.02,1249.97,1233.1,-33.74,-1.02,med,stop_loss
2016-04-22 20:00:00,2016-04-29 12:00:00,buy,0.02,1233.77,1282.75,97.96,2.98,med,take_profit
2016-04-29 16:00:00,2016-05-03 12:00:00,buy,0.02,1291.84,1286.43,-10.84,-0.32,med,trail_stop
2016-05-03 16:00:00,2016-05-09 08:00:00,buy,0.02,1285.81,1277.96,-15.7,-0.45,high,trail_stop
2016-05-09 12:00:00,2016-05-10 12:00:00,buy,0.02,1272.92,1258.36,-29.12,-1.02,high,stop_loss
2016-05-10 16:00:00,2016-05-12 20:00:00,buy,0.02,1259.31,1266.8,14.98,0.54,high,trail_stop
2016-05-13 00:00:00,2016-05-16 16:00:00,buy,0.02,1267.0,1274.7,15.4,0.56,high,trail_stop
2016-05-16 20:00:00,2016-05-18 12:00:00,buy,0.02,1274.81,1268.41,-12.8,-0.47,high,trail_stop
2016-05-18 16:00:00,2016-05-18 16:00:00,buy,0.02,1273.44,1259.9,-27.07,-1.02,high,stop_loss
2016-05-18 20:00:00,2016-05-24 04:00:00,buy,0.02,1257.36,1242.07,-30.58,-1.02,high,stop_loss
2016-05-24 08:00:00,2016-05-24 12:00:00,buy,0.03,1242.92,1231.52,-34.22,-1.02,high,stop_loss
2016-05-24 16:00:00,2016-05-25 12:00:00,buy,0.03,1231.12,1219.16,-35.89,-1.02,med,stop_loss
2016-05-25 16:00:00,2016-05-26 12:00:00,buy,0.03,1222.1,1222.46,1.08,0.03,med,trail_stop
2016-05-26 16:00:00,2016-05-27 12:00:00,buy,0.02,1222.46,1210.31,-24.29,-1.02,med,stop_loss
2016-05-27 16:00:00,2016-05-30 00:00:00,buy,0.02,1214.56,1201.41,-26.29,-1.02,low,stop_loss
2016-05-30 04:00:00,2016-06-01 16:00:00,buy,0.02,1202.89,1207.04,8.31,0.32,low,trail_stop
2016-06-08 20:00:00,2016-06-15 08:00:00,buy,0.03,1262.36,1278.38,48.05,1.44,low,trail_stop
2016-06-15 12:00:00,2016-06-16 04:00:00,buy,0.03,1279.17,1312.52,100.04,2.98,med,take_profit
2016-06-16 08:00:00,2016-06-16 16:00:00,buy,0.02,1308.21,1301.68,-13.06,-0.48,med,trail_stop
2016-06-16 20:00:00,2016-06-19 20:00:00,buy,0.02,1281.83,1281.83,-0.01,-0.0,low,trail_stop
2016-06-20 00:00:00,2016-06-21 08:00:00,buy,0.02,1289.46,1271.48,-35.95,-1.01,low,stop_loss
2016-06-21 12:00:00,2016-06-23 20:00:00,buy,0.02,1271.53,1253.58,-35.89,-1.02,med,stop_loss
2016-06-24 00:00:00,2016-06-24 00:00:00,buy,0.02,1267.59,1321.82,108.48,2.98,med,take_profit
2016-06-27 16:00:00,2016-07-08 12:00:00,buy,0.01,1319.81,1345.64,25.83,0.89,low,trail_stop
2016-07-08 16:00:00,2016-07-11 08:00:00,buy,0.02,1353.1,1356.34,6.48,0.18,high,trail_stop
2016-07-11 12:00:00,2016-07-12 12:00:00,buy,0.02,1357.6,1339.52,-36.16,-1.01,high,stop_loss
2016-07-12 16:00:00,2016-07-14 08:00:00,buy,0.02,1337.54,1329.45,-16.18,-0.47,high,trail_stop
2016-07-14 12:00:00,2016-07-20 08:00:00,buy,0.02,1325.0,1321.9,-6.2,-0.19,high,trail_stop
2016-07-20 12:00:00,2016-07-25 00:00:00,buy,0.02,1318.52,1319.37,1.69,0.06,high,trail_stop
2016-07-25 04:00:00,2016-07-28 16:00:00,buy,0.02,1317.3,1332.22,29.84,1.14,high,trail_stop
2016-07-28 20:00:00,2016-08-04 00:00:00,buy,0.02,1337.29,1353.82,33.06,1.26,high,trail_stop
2016-08-04 04:00:00,2016-08-05 12:00:00,buy,0.03,1352.16,1353.58,4.25,0.13,high,trail_stop
2016-08-05 16:00:00,2016-08-11 00:00:00,buy,0.02,1339.6,1343.71,8.24,0.31,med,trail_stop
2016-08-11 04:00:00,2016-08-11 16:00:00,buy,0.03,1342.6,1341.52,-3.26,-0.09,high,trail_stop
2016-08-11 20:00:00,2016-08-12 16:00:00,buy,0.02,1338.13,1343.15,10.04,0.39,high,trail_stop
2016-08-12 20:00:00,2016-08-17 04:00:00,buy,0.02,1335.12,1342.24,14.25,0.46,med,trail_stop
2016-08-17 08:00:00,2016-08-19 08:00:00,buy,0.02,1344.76,1343.19,-3.14,-0.12,high,trail_stop
2016-08-19 12:00:00,2016-08-22 00:00:00,buy,0.03,1343.61,1331.65,-35.87,-1.02,high,stop_loss
2016-08-22 04:00:00,2016-08-24 12:00:00,buy,0.03,1333.98,1332.72,-3.79,-0.11,high,trail_stop
2016-08-24 16:00:00,2016-08-26 16:00:00,buy,0.03,1326.36,1331.22,14.57,0.46,high,trail_stop
2016-08-26 20:00:00,2016-08-30 16:00:00,buy,0.03,1321.2,1309.51,-35.08,-1.02,high,stop_loss
2016-08-30 20:00:00,2016-09-02 16:00:00,buy,0.03,1311.11,1319.73,25.86,0.85,med,trail_stop
2016-09-02 20:00:00,2016-09-08 12:00:00,buy,0.02,1326.26,1339.35,26.18,1.01,med,trail_stop
2016-09-08 16:00:00,2016-09-09 16:00:00,buy,0.03,1339.89,1329.04,-32.56,-1.02,med,stop_loss
2016-09-09 20:00:00,2016-09-13 16:00:00,buy,0.03,1328.79,1318.39,-31.21,-1.02,med,stop_loss
2016-09-13 20:00:00,2016-09-15 12:00:00,buy,0.03,1318.36,1315.15,-9.6,-0.3,med,trail_stop
2016-09-15 16:00:00,2016-09-16 12:00:00,buy,0.03,1319.52,1307.8,-35.16,-1.02,med,stop_loss
2016-09-16 16:00:00,2016-09-22 12:00:00,buy,0.03,1308.67,1341.88,99.63,2.98,med,take_profit
2016-09-22 16:00:00,2016-09-27 12:00:00,buy,0.03,1342.96,1331.84,-33.34,-1.02,low,stop_loss
2016-09-27 16:00:00,2016-09-29 12:00:00,buy,0.03,1327.11,1316.92,-30.56,-1.03,med,stop_loss
2016-09-29 16:00:00,2016-09-30 12:00:00,buy,0.03,1318.03,1318.42,1.16,0.04,med,trail_stop
2016-09-30 16:00:00,2016-10-03 16:00:00,buy,0.03,1319.76,1309.58,-30.53,-1.03,low,stop_loss
2016-10-03 20:00:00,2016-10-04 12:00:00,buy,0.03,1313.53,1303.94,-28.76,-1.03,low,stop_loss
2016-10-11 16:00:00,2016-10-13 00:00:00,sell,0.03,1257.1,1261.86,-14.29,-0.4,low,trail_stop
2016-10-13 04:00:00,2016-10-18 00:00:00,sell,0.03,1260.03,1257.83,6.59,0.19,low,trail_stop
2016-10-18 04:00:00,2016-10-19 08:00:00,sell,0.03,1258.46,1268.04,-28.73,-1.03,low,stop_loss
2016-10-19 12:00:00,2016-10-24 12:00:00,sell,0.03,1270.15,1270.65,-1.5,-0.05,low,trail_stop
2016-10-24 16:00:00,2016-10-25 12:00:00,sell,0.03,1262.51,1271.73,-27.64,-1.03,low,stop_loss
2016-10-25 16:00:00,2016-10-28 12:00:00,sell,0.03,1272.63,1273.48,-2.55,-0.1,low,trail_stop
2016-10-28 16:00:00,2016-10-28 16:00:00,sell,0.03,1267.36,1276.6,-27.72,-1.03,low,stop_loss
2016-10-28 20:00:00,2016-11-01 08:00:00,sell,0.03,1274.55,1285.54,-32.98,-1.02,low,stop_loss
2016-11-01 12:00:00,2016-11-02 08:00:00,sell,0.03,1286.36,1296.5,-30.42,-1.03,low,stop_loss
2016-11-17 00:00:00,2016-11-25 00:00:00,sell,0.02,1226.47,1171.21,110.51,2.99,low,take_profit
2016-11-25 04:00:00,2016-11-25 08:00:00,sell,0.02,1177.77,1193.1,-30.65,-1.02,med,stop_loss
2016-11-25 12:00:00,2016-11-28 00:00:00,sell,0.02,1187.63,1194.81,-14.35,-0.45,med,trail_stop
2016-11-28 04:00:00,2016-12-02 00:00:00,sell,0.02,1191.37,1176.62,29.5,0.94,med,trail_stop
2016-12-02 04:00:00,2016-12-04 20:00:00,sell,0.02,1174.44,1181.27,-13.66,-0.48,high,trail_stop
2016-12-05 00:00:00,2016-12-05 16:00:00,sell,0.02,1179.92,1171.81,16.21,0.57,high,trail_stop
2016-12-05 20:00:00,2016-12-16 16:00:00,sell,0.02,1170.46,1139.83,61.26,1.83,high,trail_stop
2016-12-16 20:00:00,2016-12-27 04:00:00,sell,0.02,1134.06,1140.01,-11.9,-0.42,high,trail_stop
2016-12-27 08:00:00,2016-12-29 00:00:00,sell,0.03,1143.38,1145.69,-6.93,-0.24,high,trail_stop
2016-12-29 04:00:00,2016-12-29 16:00:00,sell,0.03,1148.24,1157.39,-27.44,-1.03,high,stop_loss
2016-12-29 20:00:00,2017-01-03 12:00:00,sell,0.03,1155.16,1156.17,-3.04,-0.1,high,trail_stop
2017-01-03 16:00:00,2017-01-04 08:00:00,sell,0.03,1154.67,1166.31,-34.92,-1.02,high,stop_loss
2017-01-04 12:00:00,2017-01-05 04:00:00,sell,0.03,1165.05,1176.83,-35.35,-1.02,high,stop_loss
2017-01-05 08:00:00,2017-01-05 16:00:00,sell,0.02,1177.19,1182.45,-10.52,-0.45,high,trail_stop
2017-01-05 20:00:00,2017-01-09 16:00:00,sell,0.02,1180.55,1183.93,-6.76,-0.26,high,trail_stop
