signal_time,entry_time,direction,confidence,volume,entry_price,sl,tp,sl_pips,tp_pips,max_bars,bars_held,peak_pips,exit_time,exit_price,exit_reason,pnl_pips,pnl_dollars
2024-07-08 00:45:00,2024-07-08 00:45:00,buy,0.6528815065456779,0.01,1.08182,1.0808200000000001,1.08482,10.0,30.0,1,1,14.899999999999913,2024-07-08 01:00:00,1.0829,bar_end,8.999999999999698,0.8999999999999699
2024-08-08 15:00:00,2024-08-08 15:00:00,sell,0.7871438352323706,0.01,1.09307,1.0908699999999998,1.09007,10.0,30.0,2,2,32.00000000000092,2024-08-08 15:30:00,1.0908699999999998,trail_sl,20.200000000002017,2.0200000000002016
2024-08-15 15:00:00,2024-08-15 15:00:00,sell,0.7093573288087198,0.01,1.10102,1.0965299999999998,1.0980200000000002,10.0,30.0,2,2,54.900000000002166,2024-08-15 15:30:00,1.0965299999999998,trail_sl,43.10000000000327,4.310000000000327
2024-09-27 15:00:00,2024-09-27 15:00:00,buy,0.7622455530084493,0.01,1.11586,1.11734,1.11886,10.0,30.0,2,2,24.799999999998157,2024-09-27 15:30:00,1.11734,trail_sl,12.999999999999257,1.2999999999999259
2024-11-13 16:00:00,2024-11-13 16:00:00,sell,0.8802142250344845,0.01,1.0632000000000001,1.0612199999999998,1.0602000000000003,10.0,30.0,4,2,29.800000000002047,2024-11-13 16:30:00,1.0612199999999998,trail_sl,18.000000000003148,1.800000000000315
2024-11-21 17:00:00,2024-11-21 17:00:00,sell,0.7440510902416866,0.01,1.05339,1.05439,1.0503900000000002,10.0,30.0,2,2,6.300000000001305,2024-11-21 17:30:00,1.05305,bar_end,1.6000000000000696,0.16000000000000697
2024-11-21 17:30:00,2024-11-21 17:30:00,sell,0.6900339454617711,0.01,1.05292,1.0518999999999998,1.0499200000000002,10.0,30.0,1,1,20.200000000001328,2024-11-21 17:45:00,1.0518999999999998,trail_sl,8.400000000002429,0.8400000000002429
2024-11-25 19:00:00,2024-11-25 19:00:00,buy,0.754946762143956,0.01,1.04737,1.04637,1.0503699999999998,10.0,30.0,2,2,11.800000000001809,2024-11-25 19:30:00,1.04836,bar_end,8.100000000000463,0.8100000000000463
2024-11-27 13:00:00,2024-11-27 13:00:00,buy,0.6929391188252881,0.01,1.05209,1.05109,1.0550899999999999,10.0,30.0,1,1,0.0,2024-11-27 13:15:00,1.05109,trail_sl,-11.7999999999989,-1.17999999999989
2024-11-27 17:15:00,2024-11-27 17:15:00,buy,0.6904194416507611,0.01,1.05462,1.05362,1.0576199999999998,10.0,30.0,1,1,13.700000000000934,2024-11-27 17:30:00,1.05585,bar_end,10.500000000000643,1.0500000000000642
2024-11-27 17:30:00,2024-11-27 17:30:00,buy,0.6842879166641883,0.01,1.05598,1.05698,1.0589799999999998,10.0,30.0,1,1,20.000000000000018,2024-11-27 17:45:00,1.05698,trail_sl,8.200000000001118,0.8200000000001119
2024-12-02 00:15:00,2024-12-02 00:15:00,buy,0.8261305596512684,0.01,1.0566499999999999,1.05565,1.0596499999999998,10.0,30.0,4,3,3.900000000001125,2024-12-02 01:00:00,1.05565,trail_sl,-11.7999999999989,-1.17999999999989
2024-12-05 15:15:00,2024-12-05 15:15:00,buy,0.7286538681301328,0.01,1.05466,1.0558400000000001,1.0576599999999998,10.0,30.0,2,1,21.800000000000708,2024-12-05 15:30:00,1.0558400000000001,trail_sl,10.000000000001808,1.0000000000001807
2024-12-05 17:30:00,2024-12-05 17:30:00,buy,0.7061107391035417,0.01,1.05534,1.0566300000000002,1.0583399999999998,10.0,30.0,2,1,22.900000000001253,2024-12-05 17:45:00,1.0566300000000002,trail_sl,11.100000000002353,1.1100000000002355
2024-12-11 16:00:00,2024-12-11 16:00:00,sell,0.6861277739724023,0.01,1.05167,1.05267,1.0486700000000002,10.0,30.0,1,1,11.800000000001809,2024-12-11 16:15:00,1.05077,bar_end,7.200000000001229,0.720000000000123
2024-12-12 16:15:00,2024-12-12 16:15:00,buy,0.6806890779022416,0.01,1.04826,1.0496500000000002,1.0512599999999999,10.0,30.0,1,1,23.900000000001143,2024-12-12 16:30:00,1.0496500000000002,trail_sl,12.100000000002243,1.2100000000002242
