signal_time,entry_time,direction,confidence,volume,entry_price,sl,tp,sl_pips,tp_pips,exit_time,exit_price,exit_reason,pnl_pips,pnl_dollars
2024-07-11 15:45:00,2024-07-11 16:00:00,buy,0.46267424324632095,0.01,158.35299999999998,158.05299999999997,158.95299999999997,30.0,60.0,2024-07-11 16:30:00,158.05299999999997,sl,-31.8,-3.18
2024-07-11 16:30:00,2024-07-11 16:45:00,buy,0.40694095347828113,0.01,158.61799999999997,158.31799999999996,159.21799999999996,30.0,60.0,2024-07-12 01:00:00,159.21799999999996,tp,58.2,5.82
2024-07-12 16:15:00,2024-07-12 16:30:00,buy,0.46226669466757675,0.01,158.301,158.00099999999998,158.90099999999998,30.0,60.0,2024-07-12 17:00:00,158.00099999999998,sl,-31.8,-3.18
2024-07-12 17:15:00,2024-07-12 17:30:00,buy,0.4486832796262581,0.01,157.85599999999997,157.55599999999995,158.45599999999996,30.0,60.0,2024-07-12 18:15:00,157.55599999999995,sl,-31.8,-3.18
2024-07-12 18:15:00,2024-07-12 18:30:00,buy,0.41006210508579766,0.01,157.89199999999997,157.59199999999996,158.49199999999996,30.0,60.0,2024-07-15 19:30:00,157.59199999999996,sl,-31.8,-3.18
2024-07-17 10:00:00,2024-07-17 10:15:00,buy,0.4322378779739533,0.01,157.32399999999998,157.02399999999997,157.92399999999998,30.0,60.0,2024-07-17 10:30:00,157.02399999999997,sl,-31.8,-3.18
2024-07-17 12:15:00,2024-07-17 12:30:00,buy,0.41006210508579766,0.01,156.34599999999998,156.04599999999996,156.94599999999997,30.0,60.0,2024-07-18 01:15:00,156.04599999999996,sl,-31.8,-3.18
2024-07-18 02:30:00,2024-07-18 02:45:00,buy,0.402640339101089,0.01,155.68899999999996,155.38899999999995,156.28899999999996,30.0,60.0,2024-07-18 04:45:00,156.28899999999996,tp,58.2,5.82
2024-07-22 09:45:00,2024-07-22 10:00:00,buy,0.40029396609758566,0.01,156.48299999999998,156.18299999999996,157.08299999999997,30.0,60.0,2024-07-22 15:30:00,157.08299999999997,tp,58.2,5.82
2024-07-23 07:00:00,2024-07-23 07:15:00,buy,0.41092679794309095,0.01,156.29799999999997,155.99799999999996,156.89799999999997,30.0,60.0,2024-07-23 10:45:00,155.99799999999996,sl,-31.8,-3.18
2024-07-23 11:00:00,2024-07-23 11:15:00,buy,0.41144095738428355,0.01,155.96499999999997,155.66499999999996,156.56499999999997,30.0,60.0,2024-07-23 20:00:00,155.66499999999996,sl,-31.8,-3.18
2024-07-24 08:30:00,2024-07-24 08:45:00,buy,0.4021588734963065,0.01,154.64799999999997,154.34799999999996,155.24799999999996,30.0,60.0,2024-07-24 12:30:00,154.34799999999996,sl,-31.8,-3.18
2024-07-24 14:45:00,2024-07-24 15:00:00,buy,0.40795095176855456,0.01,154.10899999999998,153.80899999999997,154.70899999999997,30.0,60.0,2024-07-24 15:45:00,153.80899999999997,sl,-31.8,-3.18
2024-07-24 16:45:00,2024-07-24 17:00:00,buy,0.4187180808504921,0.01,153.557,153.25699999999998,154.15699999999998,30.0,60.0,2024-07-24 17:45:00,153.25699999999998,sl,-31.8,-3.18
2024-07-24 17:45:00,2024-07-24 18:00:00,buy,0.4139041044308021,0.01,153.47699999999998,153.17699999999996,154.07699999999997,30.0,60.0,2024-07-24 21:45:00,154.07699999999997,tp,58.2,5.82
2024-07-25 03:45:00,2024-07-25 04:00:00,buy,0.40925727714023485,0.01,153.16799999999998,152.86799999999997,153.76799999999997,30.0,60.0,2024-07-25 04:30:00,152.86799999999997,sl,-31.8,-3.18
2024-07-25 04:30:00,2024-07-25 04:45:00,buy,0.42008936671162117,0.01,152.87699999999998,152.57699999999997,153.47699999999998,30.0,60.0,2024-07-25 05:45:00,152.57699999999997,sl,-31.8,-3.18
2024-07-25 08:00:00,2024-07-25 08:15:00,buy,0.4051566434660199,0.01,152.85399999999998,152.55399999999997,153.45399999999998,30.0,60.0,2024-07-25 09:00:00,152.55399999999997,sl,-31.8,-3.18
2024-07-25 16:15:00,2024-07-25 16:30:00,buy,0.424225137482129,0.01,153.78599999999997,153.48599999999996,154.38599999999997,30.0,60.0,2024-07-25 17:00:00,153.48599999999996,sl,-31.8,-3.18
2024-07-25 17:00:00,2024-07-25 17:15:00,buy,0.4139299669280582,0.01,153.52999999999997,153.22999999999996,154.12999999999997,30.0,60.0,2024-07-25 19:15:00,154.12999999999997,tp,58.2,5.82
2024-07-26 04:45:00,2024-07-26 05:00:00,buy,0.40097608562092224,0.01,153.742,153.44199999999998,154.34199999999998,30.0,60.0,2024-07-26 11:30:00,154.34199999999998,tp,58.2,5.82
2024-07-26 17:15:00,2024-07-26 17:30:00,buy,0.4093108216288318,0.01,153.367,153.06699999999998,153.96699999999998,30.0,60.0,2024-07-29 01:45:00,153.96699999999998,tp,58.2,5.82
2024-07-29 04:00:00,2024-07-29 04:15:00,buy,0.41974077674576743,0.01,153.593,153.29299999999998,154.19299999999998,30.0,60.0,2024-07-29 04:30:00,153.29299999999998,sl,-31.8,-3.18
2024-07-29 04:30:00,2024-07-29 04:45:00,buy,0.44310381363449275,0.01,153.45299999999997,153.15299999999996,154.05299999999997,30.0,60.0,2024-07-29 05:15:00,153.15299999999996,sl,-31.8,-3.18
2024-07-29 05:15:00,2024-07-29 05:30:00,buy,0.4050880366859987,0.01,153.26099999999997,152.96099999999996,153.86099999999996,30.0,60.0,2024-07-29 11:00:00,153.86099999999996,tp,58.2,5.82
2024-07-29 15:15:00,2024-07-29 15:30:00,buy,0.4180735503307439,0.01,153.92799999999997,153.62799999999996,154.52799999999996,30.0,60.0,2024-07-30 03:00:00,153.62799999999996,sl,-31.8,-3.18
2024-07-30 18:15:00,2024-07-30 18:30:00,buy,0.4401588785794396,0.01,153.93899999999996,153.63899999999995,154.53899999999996,30.0,60.0,2024-07-30 19:15:00,153.63899999999995,sl,-31.8,-3.18
2024-07-30 20:45:00,2024-07-30 21:00:00,buy,0.41006210508579766,0.01,153.27899999999997,152.97899999999996,153.87899999999996,30.0,60.0,2024-07-30 23:15:00,152.97899999999996,sl,-31.8,-3.18
2024-07-30 23:15:00,2024-07-30 23:30:00,buy,0.4174202779005046,0.01,152.90899999999996,152.60899999999995,153.50899999999996,30.0,60.0,2024-07-31 00:45:00,152.60899999999995,sl,-31.8,-3.18
2024-07-31 04:30:00,2024-07-31 04:45:00,buy,0.4051566434660199,0.01,152.43899999999996,152.13899999999995,153.03899999999996,30.0,60.0,2024-07-31 05:00:00,153.03899999999996,tp,58.2,5.82
2024-07-31 05:30:00,2024-07-31 05:45:00,buy,0.4023315018342643,0.01,152.90099999999998,152.60099999999997,153.50099999999998,30.0,60.0,2024-07-31 06:45:00,152.60099999999997,sl,-31.8,-3.18
2024-07-31 07:00:00,2024-07-31 07:15:00,buy,0.40241849793265316,0.01,152.789,152.48899999999998,153.38899999999998,30.0,60.0,2024-07-31 07:45:00,152.48899999999998,sl,-31.8,-3.18
2024-07-31 14:00:00,2024-07-31 14:15:00,buy,0.4029817759001202,0.01,150.30899999999997,150.00899999999996,150.90899999999996,30.0,60.0,2024-07-31 15:15:00,150.00899999999996,sl,-31.8,-3.18
2024-07-31 16:00:00,2024-07-31 16:15:00,buy,0.4346685117153649,0.01,150.23499999999999,149.93499999999997,150.83499999999998,30.0,60.0,2024-07-31 16:45:00,149.93499999999997,sl,-31.8,-3.18
2024-07-31 16:45:00,2024-07-31 17:00:00,buy,0.47377620922428604,0.01,150.15899999999996,149.85899999999995,150.75899999999996,30.0,60.0,2024-07-31 20:30:00,150.75899999999996,tp,58.2,5.82
2024-08-01 06:15:00,2024-08-01 06:30:00,buy,0.4156773554698104,0.01,149.557,149.25699999999998,150.15699999999998,30.0,60.0,2024-08-01 09:30:00,150.15699999999998,tp,58.2,5.82
2024-08-01 11:15:00,2024-08-01 11:30:00,buy,0.40097608562092224,0.01,149.87399999999997,149.57399999999996,150.47399999999996,30.0,60.0,2024-08-01 11:45:00,149.57399999999996,sl,-31.8,-3.18
2024-08-01 20:15:00,2024-08-01 20:30:00,buy,0.4034208102709752,0.01,149.68699999999998,149.38699999999997,150.28699999999998,30.0,60.0,2024-08-01 23:45:00,149.38699999999997,sl,-31.8,-3.18
2024-08-02 03:30:00,2024-08-02 03:45:00,buy,0.4069728499159965,0.01,149.39499999999998,149.09499999999997,149.99499999999998,30.0,60.0,2024-08-02 08:45:00,149.09499999999997,sl,-31.8,-3.18
2024-08-02 10:00:00,2024-08-02 10:15:00,buy,0.40097608562092224,0.01,149.11199999999997,148.81199999999995,149.71199999999996,30.0,60.0,2024-08-02 13:00:00,148.81199999999995,sl,-31.8,-3.18
2024-08-02 16:00:00,2024-08-02 16:15:00,buy,0.40664816181906155,0.01,147.67399999999998,147.37399999999997,148.27399999999997,30.0,60.0,2024-08-02 16:30:00,147.37399999999997,sl,-31.8,-3.18
2024-08-02 19:15:00,2024-08-02 19:30:00,buy,0.4474969022980271,0.01,147.07699999999997,146.77699999999996,147.67699999999996,30.0,60.0,2024-08-02 19:45:00,146.77699999999996,sl,-31.8,-3.18
2024-08-02 19:45:00,2024-08-02 20:00:00,buy,0.4513981588336085,0.01,146.95999999999998,146.65999999999997,147.55999999999997,30.0,60.0,2024-08-02 21:45:00,146.65999999999997,sl,-31.8,-3.18
2024-08-02 21:45:00,2024-08-02 22:00:00,buy,0.4111821201252102,0.01,146.60099999999997,146.30099999999996,147.20099999999996,30.0,60.0,2024-08-05 01:00:00,146.30099999999996,sl,-31.8,-3.18
2024-08-05 01:15:00,2024-08-05 01:30:00,buy,0.40125124118392386,0.01,146.41199999999998,146.11199999999997,147.01199999999997,30.0,60.0,2024-08-05 02:00:00,146.11199999999997,sl,-31.8,-3.18
2024-08-05 02:30:00,2024-08-05 02:45:00,buy,0.4259991439930742,0.01,145.605,145.30499999999998,146.20499999999998,30.0,60.0,2024-08-05 03:15:00,145.30499999999998,sl,-31.8,-3.18
2024-08-05 03:15:00,2024-08-05 03:30:00,buy,0.4211628055005451,0.01,145.61899999999997,145.31899999999996,146.21899999999997,30.0,60.0,2024-08-05 03:45:00,145.31899999999996,sl,-31.8,-3.18
