timestamp,equity
2010-01-04,10192.874997227284
2010-01-05,10221.510510484919
2010-01-06,10308.579426225931
2010-01-07,10287.611111023205
2010-01-08,10334.402580181059
2010-01-11,10404.290005673649
2010-01-12,10253.524508361648
2010-01-13,10315.398834432868
2010-01-14,10310.746094409176
2010-01-15,10204.780384640013
2010-01-19,10282.466580365313
2010-01-20,10072.817035962016
2010-01-21,9947.358529620775
2010-01-22,9805.406277871696
2010-01-25,9856.892045213523
2010-01-26,9832.695353160165
2010-01-27,9758.996051815919
2010-01-28,9708.163153960384
2010-01-29,9623.037913727394
2010-02-01,9772.218594435086
2010-02-02,9872.712146382339
2010-02-03,9841.576824459067
2010-02-04,9620.473767484666
2010-02-05,9507.927264949783
2010-02-08,9571.925852043394
2010-02-09,9651.64242294903
2010-02-10,9670.811225537129
2010-02-11,9747.432699655537
2010-02-12,9699.29009049164
2010-02-16,9839.71075036485
2010-02-17,9854.727962173294
2010-02-18,9870.689446042681
2010-02-19,9917.521230897553
2010-02-22,9917.000725327782
2010-02-23,9836.925433356851
2010-02-24,9853.562986332134
2010-02-25,9859.003206080888
2010-02-26,9921.33103682882
2010-03-01,9920.276799602416
2010-03-02,9991.917404183208
2010-03-03,10024.11050304859
2010-03-04,9976.03045263557
2010-03-05,10036.23040022029
2010-03-08,10034.037927360023
2010-03-09,10032.50921571375
2010-03-10,10015.426327678373
2010-03-11,10000.247921762171
2010-03-12,9958.79113181935
2010-03-15,9953.319364617357
2010-03-16,9968.94910758041
2010-03-17,10008.183006387571
2010-03-18,10016.245283952809
2010-03-19,9968.103098594902
2010-03-22,9977.371018259775
2010-03-23,10066.227434713883
2010-03-24,10077.822702679194
2010-03-25,10111.254307565625
2010-03-26,10088.694026417186
2010-03-29,10128.249377220549
2010-03-30,10117.182000089742
2010-03-31,10102.128412962657
2010-04-01,10161.872585745814
2010-04-05,10316.847275275633
2010-04-06,10347.706759661369
2010-04-07,10290.424438609689
2010-04-08,10280.123919881871
2010-04-09,10265.516992753623
2010-04-12,10208.868043101642
2010-04-13,10172.22484258786
2010-04-14,10255.02712710866
2010-04-15,10289.116487926327
2010-04-16,10149.946062079138
2010-04-19,10145.172357650443
2010-04-20,10233.97010613017
2010-04-21,10225.02692936217
2010-04-22,10266.904906231532
2010-04-23,10326.808918258683
2010-04-26,10316.503699742532
2010-04-27,10201.848351570352
2010-04-28,10237.172765434258
2010-04-29,10267.50914160342
2010-04-30,10202.161754993676
2010-05-03,10317.50717911575
2010-05-04,10173.229112671019
2010-05-05,10134.784418567375
2010-05-06,9979.378914534405
2010-05-07,9930.283889344808
2010-05-10,10152.82744456188
2010-05-11,10252.078641970103
2010-05-12,10354.290715529722
2010-05-13,10324.324199379376
2010-05-14,10183.266161305484
2010-05-17,10137.110613203396
2010-05-18,10130.520234967798
2010-05-19,9952.490207730913
2010-05-20,9703.141456123047
2010-05-21,9684.664085190621
2010-05-24,9767.740277811843
2010-05-25,9676.03810061907
2010-05-26,9858.042378890703
2010-05-27,10022.92080971958
2010-05-28,9991.759494474161
2010-06-01,9955.078743762286
2010-06-02,9952.045254873401
2010-06-03,9967.063800605132
2010-06-04,9983.638692781311
2010-06-07,10021.482745492187
2010-06-08,10021.384726735987
2010-06-09,10009.325644776514
2010-06-10,10002.835058349414
2010-06-11,10012.869669944268
2010-06-14,9997.611625672651
2010-06-15,9995.64647292392
2010-06-16,10015.46454932377
2010-06-17,10041.134633474729
2010-06-18,10043.33268613379
2010-06-21,10049.218735129834
2010-06-22,10055.239427397684
2010-06-23,10020.437148940666
2010-06-24,10021.101194747753
2010-06-25,10043.368059315037
2010-06-28,10054.737682146657
2010-06-29,10046.429525961361
2010-06-30,10041.726762927172
2010-07-01,9903.98607856663
2010-07-02,9874.585175932407
2010-07-06,9886.885433323756
2010-07-07,9881.037627562064
2010-07-08,9835.058992517681
2010-07-09,9866.040004385894
2010-07-12,9858.170232345594
2010-07-13,9862.747917878032
2010-07-14,9883.832535697193
2010-07-15,9887.556707987082
2010-07-16,9842.733736273462
2010-07-19,9801.586859981995
2010-07-20,9820.424555000136
2010-07-21,9875.069966464509
2010-07-22,9863.963202838673
2010-07-23,9827.451508013728
2010-07-26,9824.832025347228
2010-07-27,9733.80526243505
2010-07-28,9747.323861767161
2010-07-29,9762.601637479871
2010-07-30,9843.33038801582
2010-08-02,9829.524442780626
2010-08-03,9899.047191412033
2010-08-04,9901.794874087505
2010-08-05,9918.35267453064
2010-08-06,9981.149311728925
2010-08-09,9976.797156477744
2010-08-10,9965.720713838517
2010-08-11,10038.898985405749
2010-08-12,10134.146100417414
2010-08-13,10120.647103342602
2010-08-16,10207.862795444376
2010-08-17,10209.854960617226
2010-08-18,10195.98712737472
2010-08-19,10241.806424429278
2010-08-20,10206.530273339431
2010-08-23,10221.56920916654
2010-08-24,10311.326390512657
2010-08-25,10349.325098408224
2010-08-26,10345.802229239234
2010-08-27,10285.696610255573
2010-08-30,10296.043816061529
2010-08-31,10395.717976782556
2010-09-01,10385.23384213427
2010-09-02,10372.185122698667
2010-09-03,10353.372260026876
2010-09-07,10425.72689009592
2010-09-08,10465.38849524278
2010-09-09,10371.602687478677
2010-09-10,10361.623103703061
2010-09-13,10389.493607350407
2010-09-14,10499.642901082254
2010-09-15,10476.460615357755
2010-09-16,10362.814803651285
2010-09-17,10359.909656329179
2010-09-20,10412.181019656824
2010-09-21,10382.433875067922
2010-09-22,10432.299939777347
2010-09-23,10454.897226952911
2010-09-24,10471.161663448214
2010-09-27,10492.238407282799
2010-09-28,10564.389055798287
2010-09-29,10580.941101099088
2010-09-30,10582.729528749227
2010-10-01,10633.89810814064
2010-10-04,10658.825526265673
2010-10-05,10788.45667504338
2010-10-06,10922.018226763379
2010-10-07,10858.937919501237
2010-10-08,10988.212098664175
2010-10-11,11091.175936080057
2010-10-12,10996.84123857479
2010-10-13,11186.051077926431
2010-10-14,11198.70933162344
2010-10-15,11146.708184236364
2010-10-18,11234.45854024
2010-10-19,11097.417036562358
2010-10-20,11119.7990533974
2010-10-21,11032.68955675285
2010-10-22,11000.769863081965
2010-10-25,11094.449410390407
2010-10-26,11087.273633352814
2010-10-27,10906.91756922611
2010-10-28,11009.47632127991
2010-10-29,11138.6824544338
2010-11-01,11234.117014705904
2010-11-02,11318.128209410123
2010-11-03,11204.933700681047
2010-11-04,11521.122333099689
2010-11-05,11592.767722854831
2010-11-08,11604.024661443445
2010-11-09,11641.129490322981
2010-11-10,11460.464562340087
2010-11-11,11411.957549428347
2010-11-12,11149.986227905829
2010-11-15,11081.30520178763
2010-11-16,10896.08023718435
2010-11-17,10863.672733181262
2010-11-18,11039.088620122668
2010-11-19,11040.638117966626
2010-11-22,11109.842138064605
2010-11-23,11152.667544299473
2010-11-24,11106.443752350717
2010-11-26,11040.286786402126
2010-11-29,11037.03506762985
2010-11-30,11132.53876186843
2010-12-01,11249.978884835044
2010-12-02,11256.808806378996
2010-12-03,11353.225588489857
2010-12-06,11493.672255543295
2010-12-07,11454.897330337166
2010-12-08,11260.61923757856
2010-12-09,11243.34311522158
2010-12-10,11247.175175958499
2010-12-13,11311.074364387252
2010-12-14,11340.083801524117
2010-12-15,11245.676317052941
2010-12-16,11169.340010872384
2010-12-17,11236.449551938971
2010-12-20,11272.635222840676
2010-12-21,11326.204462193518
2010-12-22,11297.759006475215
2010-12-23,11298.162870863842
2010-12-27,11347.070641739718
2010-12-28,11420.044736847236
2010-12-29,11518.436703591231
2010-12-30,11531.11527404115
2010-12-31,11615.155535805192
2011-01-03,11703.178205631262
2011-01-04,11470.01358319551
2011-01-05,11494.518991891226
2011-01-06,11328.48512583597
2011-01-07,11254.612423149978
2011-01-10,11334.93953457014
2011-01-11,11467.551052388459
2011-01-12,11455.465612819618
2011-01-13,11452.690474365056
2011-01-14,11430.478337992094
2011-01-18,11482.437400138837
2011-01-19,11452.951885115379
2011-01-20,11382.863728919625
2011-01-21,11315.682776283029
2011-01-24,11339.996032766077
2011-01-25,11251.227116505679
2011-01-26,11370.366631099841
2011-01-27,11321.316008486387
2011-01-28,11329.022185024905
2011-01-31,11477.044336079238
2011-02-01,11558.327585799889
2011-02-02,11619.092600806114
2011-02-03,11653.474916226745
2011-02-04,11635.638207120384
2011-02-07,11593.053613309512
2011-02-08,11669.416944502498
2011-02-09,11677.883300567384
2011-02-10,11659.763087148958
2011-02-11,11572.024008737802
2011-02-14,11608.24397421558
2011-02-15,11598.375426107661
2011-02-16,11617.952588904362
2011-02-17,11653.488851006981
2011-02-18,11714.823235092459
2011-02-22,11780.360704853949
2011-02-23,11910.511778256263
2011-02-24,11916.113146623204
2011-02-25,11977.888320479742
2011-02-28,12059.971101291681
2011-03-01,12094.953930166092
2011-03-02,12160.635720413766
2011-03-03,12204.764626980237
2011-03-04,12146.437052666086
2011-03-07,12143.20206993553
2011-03-08,12146.638314225273
2011-03-09,12092.65912682217
2011-03-10,11927.487458313895
2011-03-11,11907.156389074418
2011-03-14,11986.3547937383
2011-03-15,11646.578686967512
2011-03-16,11632.760813115785
2011-03-17,11996.09711826542
2011-03-18,12000.033413623743
2011-03-21,12004.963353510982
2011-03-22,12008.063810515077
2011-03-23,12162.545744153838
2011-03-24,12274.956470567919
2011-03-25,12270.980455371506
2011-03-28,12194.638075426346
2011-03-29,12196.270444622178
2011-03-30,12183.382678207421
2011-03-31,12173.03718608004
2011-04-01,12195.423568953829
2011-04-04,12222.167332918329
2011-04-05,12302.003052899587
2011-04-06,12322.438487749463
2011-04-07,12329.796726058481
2011-04-08,12447.86993207786
2011-04-11,12383.234644331802
2011-04-12,12250.981753818824
2011-04-13,12304.593477876484
2011-04-14,12358.470430360085
2011-04-15,12391.616400647874
2011-04-18,12323.5581060903
2011-04-19,12375.839050494282
2011-04-20,12461.36424108116
2011-04-21,12520.37602852356
2011-04-25,12540.610631054898
